Time,Simulated Time,Failed on,Reward,Altitude (m),Roll,Pitch,Yaw,X_distance,Y_distance
142.2,6.01,RollAlt,-24.569,969.973,-1.236,0.38,-2.89,1.0,2.0
142.7,6.01,PitchRollAlt,-26.276,968.713,-2.377,0.788,-2.748,-0.0,2.0
143.3,6.01,PitchRollAlt,-27.159,977.551,-1.114,0.77,-0.887,-0.0,1.0
143.8,6.01,Alt,3.662,956.376,0.035,0.384,2.181,-0.0,-0.0
144.3,6.01,RollAlt,-30.181,930.534,-1.184,0.511,-5.277,1.0,3.0
144.8,6.01,Alt,3.865,957.891,0.181,0.564,4.194,-0.0,1.0
145.3,6.01,PitchAlt,-1.651,933.632,0.327,0.601,4.413,-0.0,2.0
145.9,6.01,PitchRollAlt,-11.349,946.608,-1.047,1.003,-1.924,1.0,2.0
146.4,6.01,PitchAlt,-10.822,946.87,-0.342,0.721,-0.465,-0.0,1.0
146.9,6.01,PitchAlt,-8.535,939.058,-0.346,0.934,-0.287,-0.0,2.0
147.4,6.01,PitchAlt,-19.263,945.386,-0.435,1.276,1.485,-0.0,2.0
147.8,6.01,PitchRollAlt,-16.645,974.858,-0.979,0.85,-1.06,-0.0,1.0
148.4,6.01,PitchAlt,-46.937,932.0,0.294,0.946,1.943,-0.0,2.0
148.9,6.01,RollAlt,-11.59,942.469,-1.06,0.485,-4.102,1.0,2.0
149.3,6.01,PitchAlt,-9.838,954.437,-0.42,0.715,-1.011,-0.0,1.0
149.8,6.01,PitchRollAlt,-27.848,958.464,-2.145,1.055,-2.627,-0.0,2.0
150.3,6.01,PitchAlt,-7.522,942.512,-0.106,0.629,-0.505,1.0,4.0
150.8,6.01,Alt,-9.198,938.581,0.286,0.336,5.988,-0.0,1.0
151.4,6.01,PitchRollAlt,-24.172,945.099,-0.728,1.032,0.306,1.0,1.0
151.9,6.01,Alt,-5.322,975.105,0.056,0.17,3.833,1.0,-0.0
152.4,6.01,PitchAlt,-15.533,951.324,-0.263,0.785,0.227,-0.0,1.0
152.9,6.01,PitchRollAlt,-26.427,983.603,-0.672,0.769,0.326,-0.0,-0.0
153.5,6.01,PitchRollAlt,-18.763,955.049,-0.629,0.748,-0.525,-0.0,1.0
154.0,6.01,Alt,2.194,931.265,0.313,0.515,3.333,1.0,1.0
154.5,6.01,PitchRollAlt,-14.254,943.906,-2.299,0.7,-7.667,1.0,4.0
